epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.595,1.89403,2.40491,1.28653,0.32251,0.16779,0.05952,0.03834,2.25959,291.977,2.59893,0.0721,0.0031,0.0031
2,482.336,1.94115,1.7299,1.34272,0.14015,0.35426,0.11809,0.05417,2.0067,36.7848,1.87925,0.0431474,0.00614737,0.00614737
3,699.327,1.88875,1.58671,1.30685,0.21067,0.24267,0.12575,0.05595,2.02531,7.36268,1.60969,0.0136019,0.0086019,0.0086019
4,920.875,1.84386,1.50653,1.28233,0.28268,0.26297,0.17666,0.08278,1.90047,3.47241,1.33182,0.00795954,0.00795954,0.00795954
5,1134.86,1.79036,1.45545,1.25863,0.32766,0.31783,0.2248,0.10755,1.82555,1.80625,1.25303,0.00657963,0.00657963,0.00657963
6,1347.68,1.7058,1.35489,1.21172,0.38588,0.32218,0.26331,0.13213,1.75757,1.4324,1.18136,0.00505,0.00505,0.00505
7,1568.75,1.69176,1.31271,1.20018,0.40439,0.35427,0.3004,0.15804,1.70769,1.3372,1.14743,0.00352037,0.00352037,0.00352037
8,1792.7,1.63489,1.25017,1.17591,0.44058,0.35011,0.31913,0.17473,1.67047,1.29284,1.1235,0.00214046,0.00214046,0.00214046
1,241.751,1.89403,2.40491,1.28653,0.32251,0.16779,0.05952,0.03834,2.25959,291.977,2.59893,0.0721,0.0031,0.0031
2,488.714,1.94115,1.7299,1.34272,0.14015,0.35426,0.11809,0.05417,2.0067,36.7848,1.87925,0.0431474,0.00614737,0.00614737
3,713.104,1.88875,1.58671,1.30685,0.21067,0.24267,0.12575,0.05595,2.02531,7.36268,1.60969,0.0136019,0.0086019,0.0086019
4,940.282,1.84386,1.50653,1.28233,0.28268,0.26297,0.17666,0.08278,1.90047,3.47241,1.33182,0.00795954,0.00795954,0.00795954
5,1162.19,1.79036,1.45545,1.25863,0.32766,0.31783,0.2248,0.10755,1.82555,1.80625,1.25303,0.00657963,0.00657963,0.00657963
6,1382.41,1.7058,1.35489,1.21172,0.38588,0.32218,0.26331,0.13213,1.75757,1.4324,1.18136,0.00505,0.00505,0.00505
7,1601.72,1.69176,1.31271,1.20018,0.40439,0.35427,0.3004,0.15804,1.70769,1.3372,1.14743,0.00352037,0.00352037,0.00352037
8,1821.52,1.63489,1.25017,1.17591,0.44058,0.35011,0.31913,0.17473,1.67047,1.29284,1.1235,0.00214046,0.00214046,0.00214046
9,2041.04,1.59579,1.20992,1.15468,0.47675,0.35661,0.34063,0.18726,1.63185,1.24433,1.10498,0.00104537,0.00104537,0.00104537
10,2260.97,1.58002,1.182,1.15257,0.46661,0.36157,0.34424,0.18986,1.6089,1.22332,1.09551,0.00034227,0.00034227,0.00034227
