epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.837,1.68928,2.32342,1.10678,0.57926,0.17549,0.16473,0.09261,1.62554,1.80357,1.05165,0.000236096,0.000236096,0.000236096
2,1176.06,1.55974,1.3988,1.06705,0.57522,0.21307,0.1909,0.10859,1.51727,1.31196,1.03142,0.000380225,0.000380225,0.000380225
3,1748.64,1.54342,1.31006,1.05849,0.59042,0.21584,0.21179,0.12078,1.51802,1.30489,1.02286,0.000430106,0.000430106,0.000430106
4,2326.81,1.50819,1.22848,1.04618,0.62525,0.24203,0.24762,0.14206,1.46727,1.14712,1.01261,0.000289884,0.000289884,0.000289884
5,2908.61,1.45707,1.15552,1.02898,0.46054,0.25859,0.25044,0.14389,1.42108,1.09224,1.0003,0.000148512,0.000148512,0.000148512
