epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1432.54,1.61012,2.46469,1.11398,0.62911,0.22483,0.2289,0.13071,1.43123,1.32925,1.01846,0.000234222,0.000234222,0.000234222
2,2868.42,1.4956,1.1703,1.05688,0.46306,0.28207,0.24721,0.13982,1.42422,1.07192,1.02633,0.000425472,0.000425472,0.000425472
3,4350.26,1.46626,1.06248,1.04195,0.31958,0.26815,0.23677,0.1254,1.4662,1.12433,1.03304,0.000569598,0.000569598,0.000569598
4,5761.46,1.46308,1.03245,1.0485,0.38888,0.28894,0.28169,0.15607,1.42774,0.9832,1.03373,0.000501942,0.000501942,0.000501942
5,7104.94,1.4426,0.97617,1.03427,0.38947,0.30715,0.28952,0.16071,1.40305,0.96579,1.02503,0.000431256,0.000431256,0.000431256
6,8445.83,1.39951,0.93165,1.01834,0.41979,0.31559,0.31446,0.17809,1.36566,0.90517,1.01353,0.00036057,0.00036057,0.00036057
7,9864.68,1.38105,0.89272,1.0111,0.48126,0.32857,0.33692,0.18918,1.35297,0.86744,1.00838,0.000289884,0.000289884,0.000289884
8,11324.7,1.34696,0.85056,0.99589,0.46012,0.33045,0.3461,0.19648,1.33756,0.84635,0.99474,0.000219198,0.000219198,0.000219198
9,12738.3,1.3218,0.81754,0.98625,0.50069,0.33907,0.3574,0.2039,1.31596,0.82344,0.98733,0.000148512,0.000148512,0.000148512
