epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.396,1.72886,3.03531,1.11606,0.05191,0.21029,0.08264,0.0488,1.73522,3.57157,1.02902,0.00022134,0.00022134,0.00022134
2,782.839,1.5976,1.60076,1.08699,0.60067,0.06732,0.17301,0.09873,1.63886,2.64072,1.05563,0.000360756,0.000360756,0.000360756
3,1122.24,1.52824,1.40061,1.06302,0.65197,0.10636,0.18029,0.10299,1.60588,2.23118,1.07242,0.000409693,0.000409693,0.000409693
4,1482.58,1.49526,1.32884,1.0463,0.55121,0.19569,0.21063,0.11549,1.56911,1.69906,1.05105,0.000289884,0.000289884,0.000289884
5,1868.39,1.47338,1.2561,1.0401,0.50056,0.2257,0.21918,0.12427,1.49728,1.36933,1.03025,0.000148512,0.000148512,0.000148512
