epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.65,1.9213,2.03604,1.24617,0.29616,0.161,0.07055,0.03137,1.99868,19.9421,1.6178,0.0704762,0.00328042,0.00328042
2,1479.89,1.92064,1.54697,1.26502,0.32281,0.15847,0.10281,0.04969,1.89176,3.16231,1.34326,0.040316,0.00645352,0.00645352
3,2187.88,1.84758,1.42456,1.22444,0.48747,0.15386,0.12047,0.0586,1.813,2.69691,1.28709,0.00953583,0.00900673,0.00900673
