epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,642.915,1.48593,1.25449,1.03365,0.4608,0.26224,0.24113,0.13624,1.46619,1.17963,1.01325,0.000234222,0.000234222,0.000234222
2,1272.99,1.50199,1.22238,1.03852,0.52164,0.24479,0.2424,0.13554,1.47368,1.14141,1.03067,0.000425472,0.000425472,0.000425472
3,1887.35,1.5142,1.20587,1.04493,0.2901,0.23938,0.20572,0.1065,1.53331,1.20908,1.04331,0.000569598,0.000569598,0.000569598
4,2501.93,1.5205,1.17798,1.04849,0.35806,0.2628,0.24668,0.1365,1.47673,1.12334,1.02259,0.000501942,0.000501942,0.000501942
5,3117.02,1.50139,1.1268,1.03998,0.41448,0.25689,0.25047,0.13843,1.46917,1.08553,1.0214,0.000431256,0.000431256,0.000431256
6,3732.59,1.46933,1.08409,1.02757,0.3616,0.28797,0.2663,0.1477,1.45283,1.04261,1.02217,0.00036057,0.00036057,0.00036057
7,4342,1.45086,1.04361,1.02033,0.39842,0.26895,0.26669,0.14596,1.43882,1.04554,1.01723,0.000289884,0.000289884,0.000289884
8,4948.11,1.43285,1.01885,1.01073,0.39371,0.28367,0.27847,0.15793,1.42458,0.99992,1.01126,0.000219198,0.000219198,0.000219198
9,5551.49,1.40657,0.98568,1.00243,0.43378,0.30382,0.29173,0.16221,1.39835,0.97733,1.00045,0.000148512,0.000148512,0.000148512
10,6156.17,1.39667,0.95965,0.9974,0.41924,0.29874,0.30198,0.17377,1.38935,0.9526,0.99393,7.7826e-05,7.7826e-05,7.7826e-05
