epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.538,1.66626,2.3873,1.16658,0.54385,0.2255,0.21785,0.1254,1.4812,1.52301,1.05151,0.000234222,0.000234222,0.000234222
1,910.328,1.58789,2.16387,1.11105,0.59674,0.24743,0.24837,0.14757,1.41601,1.31768,1.00626,0.000234222,0.000234222,0.000234222
2,1810.31,1.46194,1.14464,1.05033,0.42801,0.27352,0.27631,0.15782,1.42755,1.03417,1.01785,0.000467547,0.000467547,0.000467547
3,2712.79,1.46062,1.08132,1.04679,0.43532,0.30301,0.28954,0.16007,1.42292,1.06613,1.02722,0.00069616,0.00069616,0.00069616
4,3619.14,1.45866,1.04788,1.04851,0.46024,0.29454,0.30355,0.16712,1.42458,0.98185,1.02364,0.000692794,0.000692794,0.000692794
5,4509.58,1.4313,1.00275,1.03363,0.41988,0.29356,0.29836,0.16604,1.4147,0.94775,1.02148,0.000685726,0.000685726,0.000685726
6,5402.5,1.40646,0.9771,1.02617,0.4591,0.29667,0.29882,0.16431,1.41007,0.96066,1.02402,0.000678657,0.000678657,0.000678657
7,6296.14,1.4036,0.95455,1.02659,0.42665,0.31678,0.30754,0.16962,1.39783,0.93283,1.01795,0.000671588,0.000671588,0.000671588
8,7185.37,1.39768,0.95487,1.02062,0.46318,0.32737,0.33402,0.1798,1.39374,0.93531,1.00633,0.00066452,0.00066452,0.00066452
9,8075.89,1.39078,0.9264,1.01589,0.45611,0.31301,0.32492,0.17561,1.40457,0.90871,1.00962,0.000657451,0.000657451,0.000657451
10,8978.93,1.38186,0.91276,1.01241,0.59107,0.34028,0.32545,0.18159,1.39185,0.91476,1.00971,0.000650383,0.000650383,0.000650383
11,9881.02,1.37332,0.9008,1.00741,0.55942,0.33077,0.32519,0.17985,1.3878,0.89754,1.00832,0.000643314,0.000643314,0.000643314
12,10772.2,1.3708,0.89267,1.01199,0.60966,0.33992,0.3357,0.18698,1.3762,0.89054,1.00173,0.000636245,0.000636245,0.000636245
13,11661.6,1.35685,0.88354,1.00325,0.58541,0.32632,0.34145,0.1888,1.37289,0.90078,1.00014,0.000629177,0.000629177,0.000629177
14,12548.8,1.33871,0.86808,0.99741,0.60948,0.32854,0.34121,0.18625,1.36285,0.87113,0.99678,0.000622108,0.000622108,0.000622108
15,13438,1.33072,0.85795,0.99756,0.55345,0.32822,0.33504,0.18509,1.37158,0.89324,1.00397,0.00061504,0.00061504,0.00061504
16,14330.4,1.33509,0.85118,0.99833,0.59481,0.33505,0.33697,0.1851,1.37685,0.88283,1.00615,0.000607971,0.000607971,0.000607971
17,15217.2,1.33442,0.84293,0.99055,0.6017,0.3344,0.3462,0.19374,1.36646,0.87847,0.99864,0.000600902,0.000600902,0.000600902
18,16108,1.30371,0.825,0.98935,0.59946,0.32772,0.33656,0.18532,1.36954,0.86686,1.00554,0.000593834,0.000593834,0.000593834
19,16996.4,1.30885,0.82442,0.98694,0.6113,0.34445,0.35309,0.19665,1.35531,0.86207,0.99595,0.000586765,0.000586765,0.000586765
20,17884.6,1.31486,0.82069,0.98629,0.60662,0.34097,0.34461,0.19153,1.36624,0.86715,0.99803,0.000579697,0.000579697,0.000579697
21,18772.1,1.30766,0.81721,0.98615,0.62689,0.3196,0.34927,0.19473,1.35673,0.85721,0.99818,0.000572628,0.000572628,0.000572628
22,19659.4,1.30254,0.80148,0.9823,0.60051,0.32674,0.3363,0.18731,1.36357,0.86941,1.0018,0.000565559,0.000565559,0.000565559
23,20544,1.2996,0.80228,0.981,0.60118,0.33902,0.34504,0.19128,1.36491,0.86138,0.99839,0.000558491,0.000558491,0.000558491
24,21432,1.29473,0.79356,0.97958,0.64585,0.32777,0.35284,0.19608,1.35798,0.85016,0.99364,0.000551422,0.000551422,0.000551422
25,22322.7,1.28082,0.78654,0.97413,0.60694,0.3394,0.35077,0.19684,1.37209,0.85178,1.00335,0.000544354,0.000544354,0.000544354
26,23211.3,1.28671,0.79113,0.97585,0.56955,0.33721,0.3351,0.18987,1.36769,0.85909,0.99755,0.000537285,0.000537285,0.000537285
