epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,24100.1,1.29213,0.78644,0.97353,0.5812,0.33571,0.34162,0.19278,1.35163,0.8508,0.98707,0.000530216,0.000530216,0.000530216
28,24988.1,1.27809,0.77602,0.97076,0.59088,0.33831,0.33607,0.18943,1.35666,0.8535,0.99632,0.000523148,0.000523148,0.000523148
29,25874.7,1.27794,0.77407,0.97185,0.58843,0.337,0.335,0.19017,1.35189,0.85735,0.9964,0.000516079,0.000516079,0.000516079
30,26763.8,1.286,0.77928,0.97133,0.61486,0.3475,0.35475,0.20207,1.3463,0.83724,0.99046,0.000509011,0.000509011,0.000509011
31,27649.2,1.26704,0.76516,0.97103,0.5902,0.34998,0.35098,0.19705,1.34816,0.84132,0.98947,0.000501942,0.000501942,0.000501942
32,28537.2,1.28077,0.77642,0.97054,0.62164,0.33154,0.35117,0.19632,1.35793,0.84464,0.99607,0.000494873,0.000494873,0.000494873
33,29422.5,1.26219,0.75729,0.96724,0.61179,0.34662,0.35368,0.19785,1.35057,0.8347,0.99469,0.000487805,0.000487805,0.000487805
34,30310.2,1.25348,0.75412,0.9646,0.6216,0.34932,0.35274,0.19828,1.34873,0.83235,0.99426,0.000480736,0.000480736,0.000480736
35,31196.9,1.26293,0.75875,0.96694,0.62706,0.35013,0.35975,0.20196,1.35319,0.83916,0.99377,0.000473668,0.000473668,0.000473668
36,32086.3,1.25145,0.74349,0.96197,0.62105,0.34484,0.35843,0.20099,1.35059,0.8331,0.99072,0.000466599,0.000466599,0.000466599
37,32975.1,1.24689,0.74364,0.95934,0.65142,0.33349,0.35116,0.19543,1.34809,0.84337,0.99214,0.00045953,0.00045953,0.00045953
38,33862.1,1.24661,0.73747,0.96133,0.58666,0.3514,0.35603,0.19877,1.34613,0.83458,0.99627,0.000452462,0.000452462,0.000452462
39,34749.9,1.25957,0.74838,0.96717,0.61826,0.34353,0.35258,0.1942,1.34756,0.84026,0.99237,0.000445393,0.000445393,0.000445393
40,35638.3,1.23746,0.72891,0.95865,0.63084,0.34591,0.35867,0.20164,1.34744,0.8272,0.9919,0.000438325,0.000438325,0.000438325
41,36521.8,1.23854,0.73343,0.95856,0.62324,0.35204,0.35376,0.19873,1.3494,0.83611,0.99144,0.000431256,0.000431256,0.000431256
42,37410.2,1.2352,0.7316,0.95296,0.61561,0.34842,0.34839,0.19588,1.34384,0.83502,0.98965,0.000424187,0.000424187,0.000424187
43,38308.8,1.22703,0.72437,0.9542,0.63334,0.35402,0.35879,0.20006,1.35249,0.83309,0.99515,0.000417119,0.000417119,0.000417119
44,39260.7,1.22875,0.72129,0.95113,0.63272,0.34458,0.36335,0.20168,1.35319,0.83253,0.98948,0.00041005,0.00041005,0.00041005
45,40279.5,1.22729,0.71806,0.94797,0.65102,0.34118,0.35937,0.20192,1.34241,0.82682,0.98956,0.000402982,0.000402982,0.000402982
46,41327.8,1.22914,0.71475,0.95228,0.62788,0.34898,0.35899,0.19943,1.3438,0.81944,0.989,0.000395913,0.000395913,0.000395913
47,42298.9,1.2133,0.71083,0.94996,0.64805,0.3253,0.34495,0.19303,1.3449,0.83161,0.9887,0.000388844,0.000388844,0.000388844
48,43237.7,1.22677,0.71067,0.95375,0.61985,0.33815,0.3476,0.19468,1.34315,0.82995,0.99319,0.000381776,0.000381776,0.000381776
49,44199,1.22203,0.71432,0.95052,0.6216,0.34397,0.35673,0.19905,1.34529,0.82256,0.99416,0.000374707,0.000374707,0.000374707
50,45157.8,1.2188,0.70467,0.94706,0.6009,0.3414,0.34101,0.18645,1.35268,0.83029,0.99129,0.000367639,0.000367639,0.000367639
51,46146.8,1.20768,0.70227,0.94325,0.59294,0.34871,0.35375,0.19463,1.35041,0.82609,0.99309,0.00036057,0.00036057,0.00036057
52,47158.6,1.21426,0.69948,0.94531,0.6208,0.34358,0.3534,0.19294,1.34634,0.82333,0.99076,0.000353501,0.000353501,0.000353501
53,48145.5,1.19582,0.69419,0.94344,0.61646,0.34838,0.35357,0.19448,1.34601,0.81903,0.9957,0.000346433,0.000346433,0.000346433
54,49125.8,1.21142,0.69801,0.94493,0.6469,0.33266,0.35977,0.20213,1.34466,0.81956,0.99477,0.000339364,0.000339364,0.000339364
55,50120.6,1.20178,0.6922,0.94545,0.61817,0.34716,0.3573,0.19673,1.34809,0.82234,0.995,0.000332296,0.000332296,0.000332296
56,51100.9,1.19661,0.6901,0.94572,0.62107,0.33598,0.34938,0.19555,1.35016,0.8216,0.99563,0.000325227,0.000325227,0.000325227
57,52092,1.20514,0.68561,0.94505,0.6214,0.34805,0.36084,0.19949,1.34455,0.81693,0.98932,0.000318158,0.000318158,0.000318158
58,53099.5,1.20005,0.68678,0.94466,0.63664,0.3523,0.36487,0.20479,1.34282,0.80918,0.99189,0.00031109,0.00031109,0.00031109
59,54075.2,1.20546,0.69163,0.94465,0.50419,0.34105,0.36319,0.20259,1.34371,0.81515,0.98946,0.000304021,0.000304021,0.000304021
60,55240.9,1.18677,0.68027,0.93815,0.66332,0.33354,0.35938,0.20111,1.34571,0.81823,0.99289,0.000296953,0.000296953,0.000296953
61,56228.2,1.17602,0.67698,0.9376,0.64467,0.34727,0.36193,0.20137,1.34571,0.8155,0.99229,0.000289884,0.000289884,0.000289884
62,57194.4,1.18643,0.68003,0.93778,0.62673,0.33753,0.36215,0.20007,1.34368,0.81524,0.98806,0.000282815,0.000282815,0.000282815
63,58172.1,1.17768,0.6727,0.93809,0.63371,0.33252,0.35971,0.20165,1.34884,0.81892,0.99134,0.000275747,0.000275747,0.000275747
64,59141.7,1.19419,0.67996,0.94082,0.64908,0.34508,0.36508,0.20318,1.34705,0.81114,0.99437,0.000268678,0.000268678,0.000268678
65,60083.9,1.17429,0.66858,0.93482,0.64499,0.34559,0.35994,0.19978,1.34537,0.81857,0.99197,0.00026161,0.00026161,0.00026161
66,61026.2,1.18759,0.6719,0.94058,0.64546,0.34339,0.36289,0.20237,1.33933,0.81212,0.99024,0.000254541,0.000254541,0.000254541
67,61967.4,1.17331,0.6694,0.93532,0.66251,0.34226,0.36549,0.20237,1.33919,0.81097,0.98835,0.000247472,0.000247472,0.000247472
68,62912.1,1.17381,0.66914,0.93471,0.64472,0.35055,0.36704,0.20484,1.34198,0.81085,0.98578,0.000240404,0.000240404,0.000240404
69,63853.2,1.17306,0.65949,0.93431,0.62805,0.34757,0.36814,0.20494,1.34305,0.80762,0.99047,0.000233335,0.000233335,0.000233335
70,64795.9,1.17175,0.66213,0.9309,0.61378,0.3522,0.35939,0.1986,1.34648,0.81625,0.98891,0.000226267,0.000226267,0.000226267
71,65735.4,1.16753,0.65962,0.92912,0.60914,0.34929,0.35718,0.19855,1.34177,0.81399,0.98669,0.000219198,0.000219198,0.000219198
72,66678.4,1.16454,0.6583,0.93037,0.67032,0.33537,0.36702,0.20182,1.34711,0.81073,0.99127,0.000212129,0.000212129,0.000212129
73,67616.2,1.16074,0.65683,0.93226,0.6296,0.357,0.36735,0.20224,1.34183,0.81061,0.98859,0.000205061,0.000205061,0.000205061
74,68555,1.15852,0.65459,0.93198,0.63498,0.35639,0.36855,0.20385,1.34356,0.8113,0.99049,0.000197992,0.000197992,0.000197992
75,69501.9,1.16604,0.65482,0.93156,0.63464,0.34081,0.35945,0.20136,1.33963,0.80958,0.99264,0.000190924,0.000190924,0.000190924
76,70443.1,1.16979,0.65505,0.93603,0.62291,0.35951,0.36641,0.20258,1.34043,0.8071,0.9923,0.000183855,0.000183855,0.000183855
77,71382.4,1.1608,0.64823,0.93231,0.63839,0.3555,0.36824,0.20341,1.33997,0.80682,0.98753,0.000176786,0.000176786,0.000176786
78,72322.1,1.15798,0.65115,0.92987,0.63729,0.35336,0.36664,0.20383,1.34119,0.80592,0.98767,0.000169718,0.000169718,0.000169718
79,73261.2,1.15561,0.64719,0.92983,0.61733,0.34919,0.36293,0.20111,1.3392,0.80545,0.99298,0.000162649,0.000162649,0.000162649
80,74200,1.15629,0.64634,0.92798,0.48203,0.36022,0.36376,0.19943,1.34132,0.80725,0.98962,0.000155581,0.000155581,0.000155581
81,75140,1.14696,0.6459,0.92519,0.61626,0.35491,0.36356,0.20084,1.34189,0.80768,0.98951,0.000148512,0.000148512,0.000148512
82,76081.5,1.15048,0.64035,0.92324,0.6328,0.35025,0.36721,0.20346,1.3393,0.80838,0.98622,0.000141443,0.000141443,0.000141443
83,77023.2,1.14583,0.64038,0.92673,0.50502,0.35031,0.36631,0.20228,1.33778,0.80225,0.98811,0.000134375,0.000134375,0.000134375
84,77962.3,1.14264,0.63849,0.92764,0.63227,0.35311,0.36955,0.20514,1.33823,0.80189,0.98818,0.000127306,0.000127306,0.000127306
85,78900.3,1.14714,0.63706,0.92894,0.63333,0.35772,0.36902,0.20333,1.33826,0.80289,0.98857,0.000120238,0.000120238,0.000120238
86,79853.2,1.13647,0.63248,0.92097,0.64405,0.35316,0.36574,0.20029,1.33913,0.80413,0.9875,0.000113169,0.000113169,0.000113169
