epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.163,1.69978,2.59012,1.10739,0.0354,0.31105,0.12496,0.07391,1.59229,2.97447,1.05543,0.000234222,0.000234222,0.000234222
2,1383.55,1.56476,1.40792,1.07174,0.68239,0.16311,0.19961,0.115,1.57502,1.81211,1.03844,0.000378722,0.000378722,0.000378722
3,2035.96,1.52836,1.30119,1.05727,0.56015,0.22954,0.20344,0.11559,1.50772,1.28915,1.02711,0.000428974,0.000428974,0.000428974
4,2667.61,1.50171,1.23129,1.04505,0.60994,0.23624,0.22709,0.12935,1.45407,1.1856,1.01509,0.000289884,0.000289884,0.000289884
5,3293.52,1.45223,1.15691,1.03069,0.49663,0.26677,0.2578,0.15128,1.422,1.10142,1.00744,0.000148512,0.000148512,0.000148512
